RESPNO,URBRUR,ZONE,REGION,EA_SVC_A,EA_SVC_B,EA_SVC_C,EA_SVC_D,EA_FAC_A,EA_FAC_B,EA_FAC_C,EA_FAC_D,EA_FAC_E,EA_FAC_F,EA_FAC_G,EA_SEC_A,EA_SEC_B,EA_SEC_C,EA_SEC_D,EA_SEC_E,EA_ROAD_A,EA_ROAD_B,NOCALL_1,NOCALL_1OTHER,NOCALL_2,NOCALL_2OTHER,NOCALL_3,NOCALL_4,NOCALL_5,NOCALL_6,NOCALL_7,PREVINT,THISINT,ADULT_CT,CALLS,DATEINTR,STRTIME,Q1,Q2,Q2OTHER,Q3,Q4A,Q4B,Q5,Q6,Q7,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q9,Q10A,Q10B,Q11A,Q11B,Q12A,Q12B,Q12C,Q12D,Q12E,Q13,Q14,Q15A,Q15B,Q15C,Q16,Q17,Q18,Q19A,Q19B,Q20A,Q20B,Q21,Q22,Q23A,Q23B,Q23C,Q23D,Q24A,Q24B,Q24C,Q24D,Q24E,Q24F,Q25A,Q25B,Q26A,Q26B,Q26C,Q26D,Q26E,Q26F,Q27A,Q27B,Q27C,Q27D,Q27E,Q28A,Q28B,Q28C,Q29A,Q29B,Q29C,Q29D,Q29E,Q29F,Q29G,Q30,Q31,Q32,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41,Q42A,Q42B,Q42C,Q43,Q44,Q45A,Q45B,Q45C,Q45D,Q45E,Q46,Q47A,Q47B,Q48A,Q48B,Q48C,Q48D,Q48E,Q48F,Q49,Q50,Q51A,Q51B,Q51C,Q51D,Q52A,Q52B,Q52C,Q52D,Q52E,Q52F,Q52G,Q52H,Q52I,Q52J,Q52K,Q52L,Q52M_NIG,Q53A,Q53B,Q53C,Q53D,Q53E,Q53F,Q53G,Q53H,Q53I,Q53J,Q53K_NIG,Q53L_NIG,Q53M_NIG,Q54,Q55A,Q55B,Q55C,Q55D,Q55E,Q55F,Q55G,Q55H,Q55I,Q55J,Q55K,Q55L,Q56,Q57A,Q57B,Q58,Q58OTHER,Q59A,Q59B,Q59C_NIG,Q60PT1,Q60PT1OTHER,Q60PT2,Q60PT2OTHER,Q60PT3,Q60PT3OTHER,Q61A,Q61B,Q62,Q63A,Q63B,Q63C,Q63D,Q64,Q65A,Q65B,Q65C,Q66A,Q66B,Q66C,Q66D,Q66E,Q66F,Q66G,Q66H,Q66I,Q66J,Q66K,Q66L,Q66M,Q67A,Q67B,Q68A,Q68B,Q68C,Q68D,Q68E_NIG,Q69A,Q69B,Q69C,Q69D_NIG,Q69E_NIG,Q70A,Q70B,Q71A,Q71B,Q71BOTHER,Q72,Q73A,Q73B,Q73C,Q73D,Q73E,Q74A,Q74AOTHER,Q74B,Q74BOTHER,Q75A,Q75B,Q76,Q77,Q78,Q79A,Q79B,Q80A,Q80AOTHER,Q80B,Q81A,Q81B,Q81C,Q81D,Q81E,Q82A_NIG,Q82B_NIG,Q82C_NIG,Q82D_NIG,Q82E_NIG,Q82F_NIG,Q82G_NIG,Q83A_NIG,Q83AOTHER_NIG,Q83B_NIG,Q83BOTHER_NIG,Q83C_NIG,Q83D1_NIG,Q83D1OTHER_NIG,Q83D2_NIG,Q83D2OTHER_NIG,Q84A_NIG,Q84B_NIG,Q84C_NIG,Q85A_NIG,Q85B_NIG,Q85C_NIG,Q86A_NIG,Q86B_NIG,Q86C_NIG,Q86D_NIG,Q86E_NIG,Q86F_NIG,Q86G_NIG,Q86H_NIG,Q87,Q87OTHER,Q88A,Q88B,Q89A,Q89B,Q89C,Q89D,Q89E,Q90A,Q90B,Q90BOTHER,Q91A,Q91B,Q91C,Q91D,Q92A,Q92B,Q93A,Q93B,Q94,Q95,Q96A,Q96B,Q97,Q98A,Q98AOTHER,Q98B,Q99,Q99OTHER,Q99B_NIG,Q99C_NIG,Q100,ENDTIME,LENGTH,Q101,Q102,Q102OTHER,Q103,Q103OTHER,Q104,Q105,Q106,Q107A,Q107B,Q107C,Q107D,Q107E,Q108,Q110A,Q110B,Q110C,Q110D,Q110E,Q110F,Q112,Q113,Q114,Q115,Q116,Q116OTHER,Q116A1,Q116A1_OTHER,Q117,withinwt
NIG0353,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,2,1,12/11/2014,-1:00:00,27,621, ,1,2,3,2,2,3,0,0,0,0,0,7,0,0,0,0,0,4,3,1,0,0,1,1,3,4,3,3,1,1,0,1,3,3,2,1,0,0,0,0,2,0,2,0,2,0,2,1,3,2,3,2,9,3,1,1,9,0,1,2,2,2,1,CAN BE VOTE AND BE VOTED FORM,GOVERNMENT FOR THE  PEOPLE.,FREE AND FAIR ELECTION,3,2,3,3,4,1,3,2,3,2,2,4,2,1,1,4,4,4,2,3,1,2,2,2,1,2,1,0,1,1,1,3,1,2,1,2,1,0,2,0,0,2,1,9,2,0,1,9,2,9,3,3,2,2,2,2,1,2,9,9,0,0,1,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4, ,0,1,0,3, ,7, ,13, ,1,1,1,2,2,2,2,4,5,2,9,2,2,2,9,2,2,3,3,3,9,2,2,3,2,3,1,2,3,3,2,0,1,0,1,1,9,9,4,1, ,0,7,7,7,7,7,2, ,4, ,2,2,2,3,9,9,9,0, ,1,9,9,9,9,9,9,9,1,1,1,9,2,1, ,3, ,3,2, ,5, ,2,2,4,1,1,1,2,1,9,9,1,2,9,2,621, ,1,3,9,3,1,3,3,1,621, ,1,1,1,1,4,0,3,2,4,0,3,1,5,18, ,6,621, ,4,621,8,-1:00:00,-1,1,1, ,620, ,3,1,3,0,0,0,0,0,0,1,1,1,2,1,1,NIG128,28,1,2,620, ,620, ,9,.185097615931959
NIG0354,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,11,2,12/12/2014,10:10:00,22,620, ,1,2,3,2,3,2,2,2,2,3,4,2,4,4,3,1,2,2,3,1,0,0,1,2,2,2,3,3,4,3,2,2,2,3,0,1,0,0,0,0,0,0,0,0,0,0,7,7,3,3,3,3,3,3,1,1,0,1,1,4,4,3,2,EQUALITY AND JUSTICES,IT MEANS WORKING TOGETHER, ,6,11,9996,2,4,2,3,3,4,2,2,2,3,1,1,3,3,2,2,4,2,3,3,3,1,1,2,3,1,1,3,3,3,3,0,3,1,1,2,2,1,1,2,3,2,2,2,2,3,1,1,1,2,0,1,0,0,0,1,1,0,0,0,2,2,2,1,4,1,4,1,2,0,2,1,4,3,4,3,1,-1,-1,10, ,2,1,1,5, ,11, ,14, ,2,1,1,1,1,1,2,2,1,4,3,3,3,2,2,1,2,2,2,3,2,1,2,3,3,2,2,3,2,2,3,0,1,0,0,0,3,3,2,5, ,1,1,2,2,1,2,8, ,15, ,2,2,1,3,3,1,1,1, ,2,2,2,1,2,5,1,1,2,3,2,2,2,2, ,3, ,3,5, ,7, ,3,3,2,1,1,2,0,1,0,1,1,2,2,2,620, ,1,1,4,3,1,3,4,1,621, ,1,0,0,0,1,0,2,2,3,0,1,7,6,18, ,6,621, ,4,621,3,11:06:00,56,1,1, ,1, ,3,5,4,1,0,0,0,0,0,1,1,1,1,1,1,NIG132,21,2,2,661,NGAS,661,NGAS,6,.185097615931959
NIG0356,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1, ,3, ,2,9997,9997,9997,9997,1,1,2,1,12/12/2014,11:05:00,26,620, ,1,4,3,3,1,5,0,0,0,0,0,7,0,0,1,0,2,3,2,0,0,2,1,1,2,3,3,1,4,4,2,1,3,2,1,2,1,0,1,1,2,2,0,1,2,3,2,1,3,1,2,9,3,2,3,4,2,1,2,2,3,2,1,MULTIPARTY COMPETITION,WORKING TOGETHER,CONFLICT,3,11,13,2,3,3,4,2,3,1,2,4,2,3,2,5,4,4,2,1,2,3,1,0,1,2,1,0,1,0,1,1,3,1,1,1,2,0,3,0,0,1,2,1,1,0,3,0,1,1,3,2,1,1,2,2,1,2,2,1,0,0,1,2,2,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4, ,2,3,1,4, ,18, ,22, ,4,0,0,1,1,1,1,2,3,4,5,3,3,4,3,4,2,4,3,3,2,3,4,3,3,3,3,3,4,4,3,2,1,0,0,1,3,4,2,1, ,0,7,7,7,7,7,11, ,16, ,2,2,4,4,1,3,2,5, ,1,1,2,3,4,3,0,1,1,2,2,1,2,1, ,5, ,3,6, ,4, ,1,2,2,1,1,1,2,3,2,3,2,2,3,2,620, ,-1,5,4,4,1,2,1,9,9997, ,0,0,1,1,3,3,2,2,3,2,0,1,3,18, ,6,638, ,3,638,1,11:50:00,45,1,1, ,620, ,1,1,4,0,0,0,1,1,1,2,1,1,2,1,2,NIG131,34,2,2,9995,CHAMAWA,9995,CHAMAWA,6,.185097615931959
NIG0357,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,9997, ,9997, ,9997,9997,9997,9997,9997,1,2,3,1,12/11/2014,-1:00:00,22,626, ,1,2,2,2,2,2,0,0,0,0,0,7,0,0,0,0,0,2,0,2,0,1,1,0,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,3,2,3,2,9,2,1,9,1,9,9,2,3,2,2,THE PEOPLE CHOICE GOVERNMENT,FREE AND FAIR ELECTION,RIGHT AND VOTE AND VOTED FORM,3,3,3,3,3,2,3,2,3,2,2,3,2,2,2,4,4,4,2,3,9,2,9,9,9,2,1,0,1,1,1,2,1,2,1,2,1,0,2,0,0,9,2,9,2,0,2,1,2,9,3,3,2,2,2,1,2,9,9,9,9,0,1,2,2,1,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,2, ,0,0,0,4, ,1, ,32, ,2,1,1,2,2,2,2,4,5,2,9,2,2,2,9,2,9,3,3,3,9,2,3,3,2,3,1,9,3,4,3,0,1,0,1,1,9,9,3,1, ,0,7,7,7,7,7,4, ,12, ,9,9,2,9,9,9,0,1, ,9,9,9,9,9,9,9,9,1,1,1,0,2,2, ,1, ,3,5, ,2, ,2,2,4,1,1,1,2,0,1,1,1,2,1,2,625, ,2,3,3,3,1,3,3,1,621, ,0,0,0,0,0,0,3,2,4,0,2,7,3,18, ,6,621, ,4,621,3,-1:00:00,-1,2,1, ,620, ,3,1,4,0,0,0,0,0,0,2,2,2,2,2,1,NIG128,28,1,2,620, ,620, ,9,.185097615931959
NIG0358,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1, ,3, ,9997,9997,9997,9997,9997,2,2,10,1,12/12/2014,9:10:00,19,621, ,1,2,2,1,2,1,1,1,2,2,3,2,3,2,3,1,2,2,2,0,1,1,2,2,3,3,2,3,1,4,1,1,2,1,1,2,1,1,0,0,0,0,0,0,0,0,7,7,3,3,3,3,3,3,2,2,1,1,2,2,4,4,1,TREATING PEOPLE THE SAME WAY,SOCIAL DEVELOPMENT,CORRUPTION,6,5,14,1,3,2,3,3,3,2,2,2,3,1,2,4,3,3,2,3,3,2,3,2,1,1,2,1,2,2,2,1,1,1,1,4,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,3,2,2,2,2,3,4,1,4,1,0,7,7,6, ,2,1,1,12, ,32, ,22, ,3,1,1,1,2,3,2,2,1,1,3,1,1,1,1,1,1,2,3,1,1,1,3,3,2,2,3,3,3,3,3,1,1,0,0,0,3,2,1,4, ,0,3,2,2,3,3,8, ,14, ,1,2,3,4,4,1,1,2, ,2,1,4,2,1,2,1,0,0,3,1,1,1,1, ,3, ,4,6, ,10, ,3,4,3,2,1,1,2,1,1,1,2,2,2,2,621, ,1,2,1,1,1,1,2,1,638, ,1,1,1,1,4,2,2,2,3,1,1,7,6,5, ,6,638, ,4,638,5,10:00:00,50,2,1, ,1, ,4,5,4,0,0,0,0,0,0,1,1,1,1,1,1,NIG132,21,2,2,661,NGAS,661,NGAS,6,.185097615931959
NIG0359,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,9997, ,9997, ,9997,9997,9997,9997,9997,1,2,3,1,12/11/2014,11:20:00,27,626, ,1,2,2,1,3,3,0,0,0,0,0,7,0,4,0,0,0,2,0,3,0,0,3,0,4,4,4,2,4,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,7,7,3,2,3,2,9,1,1,1,1,0,9,2,3,2,2,EVERYONE HAS A SAY,FREE AND FAIR ELECTION,GOVERNMENT OF THE PEOPLE,1,3,2,3,4,1,4,1,4,1,1,4,1,2,2,4,4,4,1,4,9,2,9,9,9,2,1,0,2,1,1,2,1,0,1,2,1,0,2,0,0,1,2,9,9,1,2,0,1,9,3,3,2,2,2,1,1,2,9,9,2,1,1,2,2,1,2,7,7,2,0,7,7,7,7,7,7,7,7,7,7,7,4, ,0,0,0,24, ,1, ,32, ,2,1,1,1,3,1,2,4,5,2,3,2,2,1,9,2,9,3,3,3,9,1,3,3,2,3,1,9,3,3,3,0,1,0,1,1,2,2,3,1, ,0,7,7,7,7,7,4, ,9, ,9,9,2,1,9,2,2,1, ,1,2,4,9,9,9,2,2,1,1,1,2,2,2, ,1, ,4,5, ,2, ,1,1,4,1,2,1,2,0,1,1,1,2,1,2,625, ,2,3,3,3,3,3,3,1,621, ,0,0,0,0,0,0,3,2,4,0,2,7,3,18, ,6,621, ,4,621,3,12:15:00,55,2,1, ,620, ,3,1,4,0,0,0,0,0,0,1,1,1,2,1,1,NIG129,29,1,2,638, ,637, ,9,.185097615931959
NIG0360,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,9997, ,9997, ,9997,9997,9997,9997,9997,2,2,3,1,12/11/2014,-1:00:00,38,626, ,1,3,3,2,3,3,0,0,0,0,0,7,0,0,0,0,0,2,1,0,0,1,1,0,3,3,3,3,2,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7,7,3,2,3,2,9,2,1,9,1,9,9,2,3,2,2,PEOPLE CHOICE REPRESENTATION,FREE AND FAIR ELECTION,GOVERNMENT FOR THE PEOPLE,3,3,2,3,3,2,3,2,3,2,2,3,2,2,2,4,4,4,2,3,9,2,9,9,9,2,1,0,1,1,1,2,1,1,2,1,0,2,0,0,0,9,2,9,2,0,2,1,2,9,3,3,2,2,2,1,1,2,9,9,9,0,1,2,2,1,2,7,7,2,0,7,7,7,7,7,7,7,7,7,7,7,4, ,0,0,0,4, ,1, ,32, ,2,1,1,2,2,2,2,4,5,2,9,2,2,2,9,2,9,3,3,3,9,2,3,3,2,3,1,9,3,4,3,0,1,0,1,1,9,9,3,1, ,0,7,7,7,7,7,4, ,12, ,9,9,9,2,9,9,9,0, ,1,9,9,9,9,9,9,9,1,1,1,0,2,2, ,1, ,3,5, ,2, ,4,1,1,1,1,1,2,0,1,1,1,2,1,2,625, ,2,3,3,3,1,3,3,1,621, ,0,0,0,0,0,0,3,2,4,0,2,7,3,18, ,6,621, ,4,621,3,-1:00:00,-1,2,1, ,620, ,3,1,2,0,0,0,0,0,0,2,2,2,2,2,1,NIG129,29,1,2,638, ,637, ,9,.185097615931959
NIG0361,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,3, ,1, ,9997,9997,9997,9997,9997,1,1,2,1,12/12/2014,16:00:00,22,620, ,1,4,4,2,4,5,0,0,0,0,0,7,0,0,1,0,0,3,2,0,0,0,2,1,3,4,3,2,3,4,1,2,3,1,1,4,1,0,0,1,0,0,0,0,0,0,7,7,3,2,3,2,1,2,4,1,4,1,1,2,3,3,2,GOVERNMENT FOR THE PEOPLE,NATIONAL INDEPENDENCE,ABUSE OF POWER,2,9,14,2,4,2,4,1,3,4,1,3,2,2,4,4,3,4,3,2,3,2,0,0,1,2,1,1,2,0,2,1,2,1,1,2,3,2,3,0,2,0,2,0,2,1,0,0,0,1,2,3,1,1,2,1,1,2,2,1,1,0,3,2,1,2,1,1,9,1,0,4,2,7,7,7,7,7,7,-1,-1,-1,1, ,1,0,1,1, ,13, ,27, ,4,-1,3,1,1,1,3,2,1,4,4,3,3,3,2,1,2,4,4,3,3,4,2,3,4,3,2,3,2,3,1,0,0,0,1,1,3,3,4,0, ,0,7,7,7,7,7,1, ,9, ,2,3,3,4,1,3,2,3, ,1,1,3,3,4,2,1,1,2,2,2,0,1,1, ,4, ,3,3, ,9, ,1,1,2,1,1,1,1,2,3,2,0,1,2,1,620, ,0,5,5,4,1,4,3,1,638, ,0,0,1,1,3,2,3,2,3,1,1,1,4,620,IZALA,6,638, ,4,638,1,16:45:00,45,1,1, ,620, ,1,1,4,0,0,0,1,0,0,1,1,1,2,2,1,NIG131,34,2,2,9995,CHAMAWA,9995,CHAMAWA,6,.168765473349727
NIG0363,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,1,1,3,2,12/12/2014,11:15:00,23,629, ,1,2,3,1,3,1,1,2,3,3,4,3,4,3,3,1,0,3,2,0,1,0,2,1,4,4,4,4,3,3,2,1,3,2,1,2,1,1,1,0,2,2,1,1,1,3,2,1,3,3,3,3,3,3,2,1,2,3,1,4,3,3,1,ECONOMIC,CONFLICT,JUSTICE,6,13,6,1,3,2,2,3,4,2,2,3,1,2,2,4,3,2,2,3,2,2,2,2,1,1,2,1,1,1,0,3,3,2,0,4,2,2,3,0,1,1,1,2,2,2,3,1,1,1,2,2,2,3,2,2,1,1,1,2,2,3,2,2,3,1,1,3,0,3,2,3,3,1,3,3,1,3,3,0,7,7,3, ,1,2,1,20, ,11, ,8, ,1,1,1,1,1,1,2,1,5,4,1,-1,1,2,2,3,4,2,3,2,2,1,2,2,1,3,3,3,3,2,2,0,0,0,0,0,3,2,1,6, ,0,7,7,7,7,7,11, ,15, ,2,2,4,4,1,1,1,1, ,2,1,3,5,1,5,2,1,1,3,2,1,1,4, ,5, ,2,4, ,10, ,3,3,2,1,1,1,2,1,1,0,0,1,2,2,628, ,1,2,3,3,2,2,4,1,638, ,1,0,0,1,3,0,3,2,2,3,11,4,5,5, ,6,638, ,4,638,2,12:00:00,45,1,1, ,1, ,3,3,3,0,0,0,0,0,0,2,1,2,2,1,1,NIG132,21,2,2,661,NGAS,661,NGAS,6,.168765473349727
NIG0364,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,1,3,1,12/11/2014,10:30:00,37,620, ,1,3,3,2,3,3,0,0,0,0,0,7,0,0,0,0,0,4,3,1,0,0,1,1,3,4,3,3,1,1,0,1,3,3,2,1,0,0,0,0,2,0,2,0,2,0,2,1,3,2,3,2,9,2,3,1,2,9,0,1,3,2,1,GOVERNMENT FOR THE PEOPLE,RIGHT TO VOTE AND BE VOTED FOR,THE PEOPLE CHOICE GOVERNMENT,2,3,2,3,4,3,2,3,2,2,4,2,1,1,4,4,4,4,2,3,1,2,2,2,1,2,1,0,1,1,1,3,1,1,1,3,1,0,2,0,0,2,1,9,2,0,1,9,2,9,3,3,2,2,2,2,1,2,9,9,0,0,1,2,2,2,2,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4, ,0,1,0,3, ,7, ,13, ,1,1,1,2,2,2,2,4,5,2,9,2,2,2,9,2,2,3,3,3,9,2,2,3,2,3,1,2,3,3,2,0,1,0,1,1,9,9,4,1, ,0,7,7,7,7,7,2, ,4, ,2,2,2,3,9,9,9,0, ,1,9,9,9,9,9,9,9,1,1,1,9,2,2, ,3, ,3,2, ,5, ,2,2,4,1,1,1,1,2,9,9,1,2,2,2,620, ,1,3,9,3,1,3,3,1,621, ,1,1,1,1,4,0,3,2,4,0,4,1,5,18, ,6,621, ,-1,624,2,11:15:00,45,1,1, ,620, ,3,1,4,0,0,0,0,0,0,2,1,1,2,1,1,NIG129,29,1,2,638, ,637, ,9,.168765473349727
NIG0366,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,2,6,2,12/12/2014,13:00:00,20,9995,SIYAWA,1,3,-1,1,3,1,1,2,2,2,2,2,1,3,2,2,2,3,2,1,0,0,1,2,2,3,4,4,4,4,1,1,2,2,1,2,0,1,1,1,1,0,0,0,0,2,2,1,3,3,3,3,3,3,2,2,1,0,0,1,2,3,1,LEADING AND TAKING THE PEOPLE EQUALLY,CONFLICT / CONFUSION,GOVERNMENT,11,13,17,2,3,2,2,3,4,1,3,2,2,3,1,5,4,3,1,3,2,1,1,1,0,1,1,0,2,2,2,3,2,3,1,3,1,2,2,2,2,2,3,3,2,2,1,1,1,2,3,3,3,3,2,1,1,1,0,1,3,0,1,1,2,2,2,3,1,2,1,2,3,2,2,3,1,3,1,1,-1,-1,4, ,1,1,1,7, ,3, ,23, ,3,1,1,1,2,2,2,2,4,2,4,2,1,1,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,3,2,0,1,0,0,1,4,2,2, ,0,7,7,7,7,7,15, ,4, ,2,2,2,4,2,1,0,1, ,1,2,4,2,1,3,0,0,0,3,3,2,1,4, ,5, ,3,7, ,11, ,4,2,3,1,1,1,1,2,2,1,1,1,1,2,9995,SIYAWA,1,1,3,2,2,2,3,1,621, ,1,1,0,1,4,3,2,2,2,0,5,1,4,32, ,3,621, ,3,638,2,13:49:00,49,2,1, ,620, ,4,5,3,1,0,0,0,0,0,2,2,2,1,1,1,NIG128,28,1,2,620, ,620, ,9,.168765473349727
NIG0367,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,2, ,9997, ,9997,9997,9997,9997,9997,2,2,5,2,12/12/2014,12:10:00,21,626, ,1,2,2,1,2,3,1,2,2,2,4,3,3,2,2,1,1,3,2,2,3,2,2,2,3,4,3,4,2,2,2,2,3,3,1,2,0,0,0,0,1,0,0,0,0,2,2,2,3,2,2,2,3,2,3,1,1,1,1,4,4,4,2,PEACE AND UNITY,CONFLICT,GOVERNMENT,4,13,17,2,2,3,2,2,4,1,2,1,1,1,1,4,4,2,1,4,2,3,2,2,1,1,2,2,1,1,3,3,2,3,0,3,2,2,2,1,1,0,1,1,1,1,1,1,3,1,1,2,2,2,1,1,1,1,2,0,0,2,1,1,2,1,1,3,1,3,0,3,1,3,2,3,3,3,2,1,-1,-1,4, ,1,1,1,14, ,8, ,24, ,2,1,2,1,1,1,1,3,4,1,3,2,2,3,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,3,3,0,1,1,0,0,3,2,1,3, ,0,7,7,7,7,7,6, ,11, ,2,2,2,3,2,0,1,1, ,2,2,4,4,5,4,2,1,1,3,2,2,1,3, ,2, ,2,7, ,9, ,3,4,1,1,1,1,2,1,0,0,2,2,2,2,625, ,0,1,4,3,3,2,4,1,621, ,1,0,0,0,4,2,3,2,2,0,2,7,4,18, ,6,621, ,4,621,2,13:04:00,54,2,1, ,620, ,3,4,5,0,0,0,0,0,0,1,1,1,1,1,1,NIG132,21,2,2,661,NGAS,661,NGAS,6,.168765473349727
NIG0368,2,2,624,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,9997, ,9997, ,9997,9997,9997,9997,9997,2,2,3,1,12/11/2014,12:20:00,22,620, ,1,3,3,2,3,3,0,0,0,0,0,7,0,0,0,0,0,4,3,1,0,0,1,1,3,4,3,3,1,1,0,1,3,3,2,1,0,0,0,0,2,0,2,0,2,0,2,1,3,2,3,2,9,2,3,1,1,9,0,1,2,2,1,RIGHT TO VOTE AND BE VOTED FOR,FREE AND FAIR ELECTION,GOVERNMENT FOR THE PEOPLE,3,3,2,3,4,2,4,2,5,2,2,3,1,1,1,4,4,4,2,3,1,2,1,2,2,2,1,0,1,1,2,3,2,2,1,2,1,0,2,0,0,2,1,9,2,0,2,9,2,9,3,3,3,2,2,2,1,1,9,9,0,0,2,2,2,2,2,7,7,7,7,7,7,7,7,7,7,1,-1,7,7,7,4, ,0,2,0,3, ,8, ,13, ,1,1,1,2,2,2,2,4,5,2,2,2,2,2,9,3,3,3,3,3,9,2,2,3,2,3,1,2,3,3,2,0,2,0,2,1,9,9,4,1, ,0,7,7,7,7,7,2, ,7, ,2,2,2,3,9,9,9,0, ,1,9,9,9,9,9,9,9,1,2,2,9,2,1, ,3, ,3,2, ,7, ,2,2,4,1,1,1,2,0,9,9,0,2,9,2,620, ,1,3,9,3,1,2,3,1,621, ,1,1,1,1,4,0,3,2,4,0,3,1,5,18, ,6,621, ,4,621,3,13:00:00,40,2,1, ,620, ,3,1,4,0,0,0,0,0,0,2,1,1,2,2,1,NIG129,29,1,2,638, ,637, ,9,.168765473349727
NIG0369,1,5,625,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1, ,9997, ,9997,9997,9997,9997,9997,2,1,5,1,12/9/2014,9:05:00,26,638, ,9,3,4,4,2,4,0,0,0,1,2,3,0,0,0,1,1,4,4,3,3,3,2,1,4,4,4,3,3,1,0,0,3,3,1,3,1,1,1,0,0,0,0,0,0,0,7,7,3,2,3,3,3,3,2,2,1,9,9,2,2,2,1,IT IS AN OPEN GOVERNMENT,A GOVERNMENT THAT ALLOWS CITIZENS TO MAKE CONTRIBUTION,IT IS A RELATIVE GOVERNMENT SYSTEM,8,11,11,3,2,1,2,1,2,1,5,5,1,2,2,5,5,5,1,3,1,3,0,0,0,3,2,0,1,3,3,1,2,0,0,2,1,3,2,2,9,9,1,1,2,9,9,0,2,1,1,0,9,9,9,2,1,3,2,2,2,3,2,2,1,2,1,2,9,2,0,7,7,3,1,3,1,7,7,0,7,7,7, ,9,1,9,22, ,5, ,3, ,3,0,5,9,9,1,1,3,4,1,1,4,9,2,2,9,2,3,4,3,9,4,4,4,3,3,3,3,9,9,9,1,1,1,1,1,3,3,2,3, ,0,7,7,7,7,7,2, ,17, ,3,3,2,3,1,9,9,1, ,9,2,4,9,9,9,1,1,2,2,1,0,2,5, ,6, ,2,9, ,5, ,2,5,5,2,2,2,3,3,2,2,2,2,2,1,637, ,9,3,5,5,1,3,4,0,9997, ,1,1,0,1,4,3,3,3,4,2,7,1,5,1, ,4,9999, ,9,9999,7,9:55:00,50,1,1, ,1, ,5,1,1,0,0,0,0,0,0,2,2,2,1,1,1,NIG090,26,2,2,621, ,621, ,7,1.44105386733394
